symbol,name,industry,exchange_code,asset_type
QCOM,Qualcomm Inc,,NASDAQ,STOCK
QRVO,Qorvo Inc,,NASDAQ,STOCK
RCL,Royal Caribbean Group,,NYSE,STOCK
REG,Regency Centers Corporation,,NASDAQ,STOCK
REGN,Regeneron Pharmaceuticals Inc,,NASDAQ,STOCK
RF,Regions Financial Corp,,NYSE,STOCK
RHI,Robert Half Inc,,NYSE,STOCK
RJF,Raymond James Financial Inc,,NYSE,STOCK
RL,Ralph Lauren Corp - Class A,,NYSE,STOCK
RMD,Resmed Inc,,NYSE,STOCK
ROK,Rockwell Automation Inc,,NYSE,STOCK
ROL,Rollins Inc,,NYSE,STOCK
ROP,Roper Technologies Inc,,NASDAQ,STOCK
ROST,Ross Stores Inc,,NASDAQ,STOCK
RSG,Republic Services Inc,,NYSE,STOCK
RTX,RTX Corp,,NYSE,STOCK
RVTY,Revvity Inc,,NYSE,STOCK
SBAC,SBA Communications Corp - Class A,,NASDAQ,STOCK
SBUX,Starbucks Corp,,NASDAQ,STOCK
SCHW,Charles Schwab Corp,,NYSE,STOCK
SEDG,Solaredge Technologies Inc,,NASDAQ,STOCK
SEE,Sealed Air Corp,,NYSE,STOCK
SHW,Sherwin-Williams Company,,NYSE,STOCK
SJM,J.M. Smucker Company,,NYSE,STOCK
SLB,SLB,,NYSE,STOCK
SNA,Snap-on Inc,,NYSE,STOCK
SNPS,Synopsys Inc,,NASDAQ,STOCK
SO,Southern Company,,NYSE,STOCK
SPG,Simon Property Group Inc,,NYSE,STOCK
SPGI,S&P Global Inc,,NYSE,STOCK
SRE,Sempra,,NYSE,STOCK
STE,Steris Plc,,NYSE,STOCK
STLD,Steel Dynamics Inc,,NASDAQ,STOCK
STT,State Street Corp,,NYSE,STOCK
STX,Seagate Technology Holdings Plc,,NASDAQ,STOCK
STZ,Constellation Brands Inc - Class A,,NYSE,STOCK
SWK,Stanley Black & Decker Inc,,NYSE,STOCK
SWKS,Skyworks Solutions Inc,,NASDAQ,STOCK
SYF,Synchrony Financial,,NYSE,STOCK
SYK,Stryker Corp,,NYSE,STOCK
SYY,Sysco Corp,,NYSE,STOCK
T,AT&T Inc,,NYSE,STOCK
TAP,Molson Coors Beverage Company - Class B,,NYSE,STOCK
TDG,Transdigm Group Incorporated,,NYSE,STOCK
TDY,Teledyne Technologies Inc,,NYSE,STOCK
TECH,Bio-Techne Corp,,NASDAQ,STOCK
TEL,TE Connectivity Ltd,,NYSE,STOCK
TER,Teradyne Inc,,NASDAQ,STOCK
TFC,Truist Financial Corporation,,NYSE,STOCK
TFX,Teleflex Incorporated,,NYSE,STOCK
TGT,Target Corp,,NYSE,STOCK
TJX,TJX Companies Inc,,NYSE,STOCK
TMO,Thermo Fisher Scientific Inc,,NYSE,STOCK
TMUS,T-Mobile US Inc,,NASDAQ,STOCK
TPR,Tapestry Inc,,NYSE,STOCK
TRGP,Targa Resources Corp,,NYSE,STOCK
TRMB,Trimble Inc,,NASDAQ,STOCK
TROW,T. Rowe Price Group Inc,,NASDAQ,STOCK
TRV,Travelers Companies Inc,,NYSE,STOCK
TSCO,Tractor Supply Company,,NASDAQ,STOCK
TSLA,Tesla Inc,,NASDAQ,STOCK
TSN,Tyson Foods Inc - Class A,,NYSE,STOCK
TT,Trane Technologies plc - Class A,,NYSE,STOCK
TTWO,Take-Two Interactive Software Inc,,NASDAQ,STOCK
TXN,Texas Instruments Inc,,NASDAQ,STOCK
TXT,Textron Inc,,NYSE,STOCK
TYL,Tyler Technologies Inc,,NYSE,STOCK
UAL,United Airlines Holdings Inc,,NASDAQ,STOCK
UDR,UDR Inc,,NYSE,STOCK
UHS,Universal Health Services Inc - Class B,,NYSE,STOCK
ULTA,Ulta Beauty Inc,,NASDAQ,STOCK
UNH,Unitedhealth Group Inc,,NYSE,STOCK
UNP,Union Pacific Corp,,NYSE,STOCK
UPS,United Parcel Service Inc - Class B,,NYSE,STOCK
URI,United Rentals Inc,,NYSE,STOCK
USB,U.S. Bancorp.,,NYSE,STOCK
V,Visa Inc - Class A,,NYSE,STOCK
VFC,VF Corp,,NYSE,STOCK
VICI,VICI Properties Inc,,NYSE,STOCK
VLO,Valero Energy Corp,,NYSE,STOCK
VMC,Vulcan Materials Company,,NYSE,STOCK
VRSK,Verisk Analytics Inc,,NASDAQ,STOCK
VRSN,Verisign Inc,,NASDAQ,STOCK
VRTX,Vertex Pharmaceuticals Inc,,NASDAQ,STOCK
VTR,Ventas Inc,,NYSE,STOCK
VTRS,Viatris Inc,,NASDAQ,STOCK
VZ,Verizon Communications Inc,,NYSE,STOCK
WAB,Westinghouse Air Brake Technologies Corp,,NYSE,STOCK
WAT,Waters Corp,,NYSE,STOCK
WBA,Walgreens Boots Alliance Inc,,NASDAQ,STOCK
WBD,Warner Bros. Discovery Inc - Class A,,NASDAQ,STOCK
WDC,Western Digital Corp,,NASDAQ,STOCK
WEC,WEC Energy Group Inc,,NYSE,STOCK
WELL,Welltower Inc,,NYSE,STOCK
WFC,Wells Fargo & Company,,NYSE,STOCK
WHR,Whirlpool Corp,,NYSE,STOCK
WM,Waste Management Inc,,NYSE,STOCK
WMB,Williams Cos Inc,,NYSE,STOCK
WMT,Walmart Inc,,NYSE,STOCK
WRB,W.R. Berkley Corp,,NYSE,STOCK
WRK,WestRock Company,,NYSE,STOCK
WST,West Pharmaceutical Services Inc,,NYSE,STOCK
WTW,Willis Towers Watson Public Ltd Company,,NASDAQ,STOCK
WY,Weyerhaeuser Company,,NYSE,STOCK
WYNN,Wynn Resorts Ltd,,NASDAQ,STOCK
XEL,Xcel Energy Inc,,NASDAQ,STOCK
XOM,Exxon Mobil Corp,,NYSE,STOCK
XRAY,DENTSPLY Sirona Inc,,NASDAQ,STOCK
XYL,Xylem Inc,,NYSE,STOCK
YUM,Yum Brands Inc,,NYSE,STOCK
ZBH,Zimmer Biomet Holdings Inc,,NYSE,STOCK
ZBRA,Zebra Technologies Corp - Class A,,NASDAQ,STOCK
ZION,Zions Bancorporation N.A,,NASDAQ,STOCK
ZTS,Zoetis Inc - Class A,,NYSE,STOCK
