date,symbol,open,high,low,close,volume
2022-04-07,CSPX.L,458.9,461.86,456.35,456.64,89695
2022-04-08,CSPX.L,462.21,464.1,458.19,461.93,74320
2022-04-11,CSPX.L,459.04,460.42,453.58,454.66,65286
2022-04-12,CSPX.L,450.5,457.6,449.4,456.71,46430
2022-04-13,CSPX.L,452.94,454.2,449.5,453.73,55118
2022-04-14,CSPX.L,455.73,456.95,452.64,453.88,29989
2022-04-19,CSPX.L,451.36,456.02,448.3,455.68,68855
2022-04-20,CSPX.L,455.15,459.7,454.82,457.93,97203
2022-04-21,CSPX.L,458.92,462.33,458.0,458.53,51514
2022-04-22,CSPX.L,449.76,450.68,442.57,444.0,188515
2022-04-25,CSPX.L,433.01,436.28,431.5,432.54,205420
2022-04-26,CSPX.L,439.93,440.08,430.65,432.3,106563
2022-04-27,CSPX.L,430.44,433.57,426.5,432.08,103841
2022-04-28,CSPX.L,433.73,436.83,429.2,432.79,96246
2022-04-29,CSPX.L,438.06,438.33,430.25,433.01,57562
2022-05-03,CSPX.L,426.41,430.0,423.64,429.6,153547
2022-05-04,CSPX.L,428.62,429.94,425.45,425.45,49442
2022-05-05,CSPX.L,439.35,439.77,424.16,426.42,92071
2022-05-06,CSPX.L,424.15,426.0,416.92,423.09,259826
2022-05-09,CSPX.L,418.9,420.15,410.58,411.63,104252
2022-05-10,CSPX.L,413.43,417.04,406.96,407.7,72996
2022-05-11,CSPX.L,411.58,415.69,405.1,413.13,331532
2022-05-12,CSPX.L,401.46,406.56,397.5,402.63,342106
2022-05-13,CSPX.L,406.5,414.0,405.53,412.37,71794
2022-05-16,CSPX.L,409.81,412.85,408.58,410.04,53582
2022-05-17,CSPX.L,413.16,418.76,412.92,416.72,71318
2022-05-18,CSPX.L,417.89,418.5,403.91,408.17,137121
2022-05-19,CSPX.L,401.75,402.58,395.9,401.7,214540
2022-05-20,CSPX.L,402.46,405.48,394.21,397.42,125267
2022-05-23,CSPX.L,404.84,407.65,401.0,407.52,167535
2022-05-24,CSPX.L,402.38,404.23,397.5,398.65,48551
2022-05-25,CSPX.L,406.24,408.16,401.87,405.61,159072
2022-05-26,CSPX.L,407.35,415.79,407.28,414.86,94252
2022-05-27,CSPX.L,416.16,423.95,415.81,423.16,49904
2022-05-30,CSPX.L,430.2,431.38,427.72,429.29,134651
2022-05-31,CSPX.L,425.9,427.56,421.22,422.83,86441
2022-06-01,CSPX.L,425.58,427.47,419.09,419.66,77826
2022-06-06,CSPX.L,424.41,427.89,423.55,424.3,76891
2022-06-07,CSPX.L,420.82,424.79,418.65,422.8,75942
2022-06-08,CSPX.L,425.73,427.04,423.94,426.52,133144
2022-06-09,CSPX.L,422.38,425.14,419.18,420.01,49277
2022-06-10,CSPX.L,413.51,415.14,400.66,400.94,81136
2022-06-13,CSPX.L,393.0,394.93,384.87,387.86,306802
2022-06-14,CSPX.L,390.1,390.62,383.0,384.78,67420
2022-06-15,CSPX.L,385.27,389.6,384.5,386.9,206877
2022-06-16,CSPX.L,385.45,386.36,375.38,377.15,103750
2022-06-17,CSPX.L,378.35,381.0,373.62,377.45,151621
2022-06-20,CSPX.L,378.87,381.52,377.94,381.09,53591
2022-06-21,CSPX.L,382.13,387.94,382.12,386.96,471192
2022-06-22,CSPX.L,381.94,389.66,379.02,388.93,135714
2022-06-23,CSPX.L,385.16,389.89,383.44,387.9,205561
2022-06-24,CSPX.L,392.24,399.71,391.74,398.67,89701
2022-06-27,CSPX.L,401.66,405.3,399.96,402.38,50461
2022-06-28,CSPX.L,402.47,405.22,394.63,398.1,46610
2022-06-29,CSPX.L,391.78,394.12,390.46,392.19,146154
2022-06-30,CSPX.L,387.5,391.02,384.13,388.48,105129
2022-07-01,CSPX.L,385.69,391.87,384.46,388.82,44917
2022-07-04,CSPX.L,391.27,392.23,389.89,391.51,23895
2022-07-05,CSPX.L,394.75,394.81,384.47,385.56,50249
2022-07-06,CSPX.L,393.14,395.21,390.8,392.03,123969
2022-07-07,CSPX.L,396.11,400.01,395.3,399.35,76823
2022-07-08,CSPX.L,399.52,402.71,397.2,402.5,146713
2022-07-11,CSPX.L,396.99,399.04,395.5,396.74,88199
2022-07-12,CSPX.L,393.85,398.06,392.65,396.83,69028
2022-07-13,CSPX.L,393.91,394.98,385.5,390.45,180249
2022-07-14,CSPX.L,389.14,389.55,382.53,385.26,39632
2022-07-15,CSPX.L,389.28,396.74,388.38,396.24,23356
2022-07-18,CSPX.L,399.25,401.56,399.13,399.78,50350
2022-07-19,CSPX.L,394.6,402.18,393.88,401.95,70105
2022-07-20,CSPX.L,405.72,408.22,402.95,407.62,92671
2022-07-21,CSPX.L,407.13,408.58,403.8,408.0,78886
2022-07-22,CSPX.L,409.55,412.24,407.96,408.36,89909
2022-07-25,CSPX.L,406.95,409.75,406.0,408.11,50406
2022-07-26,CSPX.L,406.5,407.26,402.46,403.52,40622
2022-07-27,CSPX.L,406.42,409.26,406.14,408.53,68053
2022-07-28,CSPX.L,412.72,418.59,410.34,415.98,114254
2022-07-29,CSPX.L,421.66,423.65,419.61,421.14,189613
2022-08-01,CSPX.L,423.56,426.24,421.07,425.1,63716
2022-08-02,CSPX.L,421.72,423.99,419.66,422.72,87860
2022-08-03,CSPX.L,421.43,427.49,420.69,425.46,32766
2022-08-04,CSPX.L,426.5,429.0,425.0,426.24,86348
2022-08-05,CSPX.L,427.5,427.75,422.0,423.64,165342
2022-08-08,CSPX.L,427.14,430.5,426.82,428.54,131473
2022-08-09,CSPX.L,426.34,426.94,423.03,424.27,56944
2022-08-10,CSPX.L,423.6,433.08,423.0,432.24,81352
2022-08-11,CSPX.L,434.66,438.0,433.1,435.24,65298
