symbol,name,industry,exchange_code,asset_type,data_source, note_1
OGN,Organon & Company,,NYSE,STOCK,YFINANCE,SP500
OKE,Oneok Inc,,NYSE,STOCK,YFINANCE,SP500
OMC,Omnicom Group Inc,,NYSE,STOCK,YFINANCE,SP500
ON,ON Semiconductor Corp,,NASDAQ,STOCK,YFINANCE,SP500
ORCL,Oracle Corp,,NYSE,STOCK,YFINANCE,SP500
ORLY,O`Reilly Automotive Inc,,NASDAQ,STOCK,YFINANCE,SP500
OTIS,Otis Worldwide Corp,,NYSE,STOCK,YFINANCE,SP500
OXY,Occidental Petroleum Corp,,NYSE,STOCK,YFINANCE,SP500
PARA,Paramount Global - Class B,,NASDAQ,STOCK,YFINANCE,SP500
PAYC,Paycom Software Inc,,NYSE,STOCK,YFINANCE,SP500
PAYX,Paychex Inc,,NASDAQ,STOCK,YFINANCE,SP500
PCAR,Paccar Inc,,NASDAQ,STOCK,YFINANCE,SP500
PCG,PG&E Corp,,NYSE,STOCK,YFINANCE,SP500
PEAK,Healthpeak OP LLC,,NYSE,STOCK,YFINANCE,SP500
PEG,Public Service Enterprise Group Inc,,NYSE,STOCK,YFINANCE,SP500
PEP,PepsiCo Inc,,NASDAQ,STOCK,YFINANCE,SP500
PFE,Pfizer Inc,,NYSE,STOCK,YFINANCE,SP500
PFG,Principal Financial Group Inc,,NASDAQ,STOCK,YFINANCE,SP500
PG,Procter & Gamble Company,,NYSE,STOCK,YFINANCE,SP500
PGR,Progressive Corp,,NYSE,STOCK,YFINANCE,SP500
PH,Parker-Hannifin Corp,,NYSE,STOCK,YFINANCE,SP500
PHM,PulteGroup Inc,,NYSE,STOCK,YFINANCE,SP500
