Symbol,Description,exchange_code,asset_type
ESGB.L,VanEck Video Gaming and eSports UCITS ETF,LSE,ETF,TRADING212
ESGG.L,Invesco MSCI World ESG Universal Screened UCITS ETF,LSE,ETF,TRADING212
ESGP.L,Auag ESG Gold Mining UCITS ETF,LSE,ETF,TRADING212
ESIC.L,iShares Msci Europe Consumer Discretionary Sector UCITS ETF,LSE,ETF,TRADING212
ESIE.L,iShares MSCI Europe Energy Sector UCITS ETF,LSE,ETF,TRADING212
ESIF.L,iShares MSCI Europe Financials Sector UCITS ETF,LSE,ETF,TRADING212
ESIH.L,iShares MSCI Europe Health Care Sector UCITS ETF,LSE,ETF,TRADING212
ESIN.L,iShares MSCI Europe Industrials Sector UCITS ETF,LSE,ETF,TRADING212
ESIS.L,iShares MSCI Europe Consumer Staples Sector UCITS ETF,LSE,ETF,TRADING212
ESIT.L,iShares MSCI Europe Information Technology Sector UCITS ETF,LSE,ETF,TRADING212
ESOLGBP.L,SOLetc - ETC Group Physical Solana,LSE,ETF,TRADING212
EUDV.L,SPDR S\u0026P Euro Dividend Aristocrats UCITS ETF,LSE,ETF,TRADING212
EUE.L,iShares Core EURO STOXX 50 UCITS ETF EUR Dist,LSE,ETF,TRADING212
EUGD.L,HANetf European Green Deal UCITS ETF,LSE,ETF,TRADING212
EUHD.L,Invesco EURO STOXX High Dividend Low Volatility UCITS ETF,LSE,ETF,TRADING212
EUN.L,iShares STOXX Europe 50 UCITS ETF,LSE,ETF,TRADING212
EUSR.L,UBS Lux Fund Solutions - MSCI EMU Socially Responsible UCITS ETF,LSE,ETF,TRADING212
EUXS.L,iShares MSCI Europe ex-UK GBP Hedged UCITS ETF Dist,LSE,ETF,TRADING212
EVAL.L,SPDR MSCI Europe Value UCITS ETF,LSE,ETF,TRADING212
EWSP.L,iShares S\u0026P 500 Equal Weight UCITS ETF,LSE,ETF,TRADING212
EXCS.L,iShares MSCI EM EX-China UCITS ETF,LSE,ETF,TRADING212
EYED.L,iShares MSCI Europe Energy Sector UCITS ETF,LSE,ETF,TRADING212
FANP.L,GraniteShares FAANG ETP,LSE,ETF,TRADING212
FASE.L,Invesco FTSE All Share ESG Climate UCITS ETF,LSE,ETF,TRADING212
FCSG.L,First Trust Global Capital Strength ESG Leaders UCITS ETF,LSE,ETF,TRADING212
FDNI.L,First Trust Dow Jones International Internet UCITS ETF,LSE,ETF,TRADING212
FDN.L,First Trust Dow Jones Internet UCITS ETF,LSE,ETF,TRADING212
FEDG.L,Amundi Fed Funds US Dollar Cash UCITS ETF,LSE,ETF,TRADING212
FEMP.L,Fidelity Sustainable USD EM Bond UCITS ETF,LSE,ETF,TRADING212
FEM.L,First Trust Emerging Markets AlphaDEX UCITS - CU,LSE,ETF,TRADING212
FEQD.L,Fidelity Europe Quality Income UCITS ETF,LSE,ETF,TRADING212
FEQP.L,Fidelity Europe Quality Income UCITS ETF,LSE,ETF,TRADING212
FEUI.L,Fidelity Europe Quality Income UCITS ETF,LSE,ETF,TRADING212
FEUR.L,Fidelity Sustainable Research Enhanced Europe Equity UCITS ETF,LSE,ETF,TRADING212
FEUZ.L,First Trust Eurozone AlphaDEX UCITS ETF,LSE,ETF,TRADING212
FEX.L,First Trust US Large Cap Core AlphaDEX UCITS ETF,LSE,ETF,TRADING212
FGQD.L,Fidelity Global Quality Income UCITS ETF,LSE,ETF,TRADING212
FING.L,Global X Fintech UCITS ETF,LSE,ETF,TRADING212
FKU.L,First Trust United Kingdom AlphaDEX UCITS ETF,LSE,ETF,TRADING212
FLO5.L,iShares USD Floating Rate Bond UCITS ETF,LSE,ETF,TRADING212
FLOS.L,iShares USD Floating Rate Bond UCITS ETF,LSE,ETF,TRADING212
FLXD.L,Franklin European Quality Dividend UCITS ETF,LSE,ETF,TRADING212
FLXE.L,Franklin Emerging Markets UCITS ETF,LSE,ETF,TRADING212
FLXX.L,Franklin Global Quality Dividend UCITS ETF,LSE,ETF,TRADING212
FNCW.L,SPDR MSCI World Financials UCITS ETF,LSE,ETF,TRADING212
FOGB.L,Rize Sustainable Future of Food UCITS ETF,LSE,ETF,TRADING212
FPX.L,First Trust US Equity Opportunities UCITS ETF,LSE,ETF,TRADING212
FRGP.L,iShares France Govt Bond UCITS ETF,LSE,ETF,TRADING212
FRIN.L,Franklin FTSE India UCITS ETF,LSE,ETF,TRADING212
FRXT.L,Franklin FTSE Taiwan UCITS ETF,LSE,ETF,TRADING212
FSED.L,Fidelity Sustainable USD EM Bond UCITS ETF,LSE,ETF,TRADING212
FSEU.L,iShares Edge MSCI Europe Multifactor UCITS ETF,LSE,ETF,TRADING212
FSKY.L,First Trust Cloud Computing UCITS ETF,LSE,ETF,TRADING212
FSMG.L,Fidelity Sustainable Global Corporate Bond Paris-Aligned Multifactor UCITS ETF,LSE,ETF,TRADING212
FSUS.L,iShares Edge MSCI USA Multifactor UCITS ETF,LSE,ETF,TRADING212
FSWD.L,iShares Edge MSCI World Multifactor UCITS ETF,LSE,ETF,TRADING212
FTAD.L,SPDR FTSE UK All Share UCITS ETF,LSE,ETF,TRADING212
FTAL.L,SPDR FTSE UK All Share UCITS ETF,LSE,ETF,TRADING212
FTNP.L,GraniteShares FATANG ETP,LSE,ETF,TRADING212
FTWG.L,Invesco FTSE All-World UCITS ETF,LSE,ETF,TRADING212
FUQA.L,Fidelity US Quality Income UCITS ETF,LSE,ETF,TRADING212
FUSI.L,Fidelity US Quality Income UCITS ETF,LSE,ETF,TRADING212
FUSP.L,Fidelity US Quality Income UCITS ETF,LSE,ETF,TRADING212
FWRG.L,Invesco FTSE All-World UCITS ETF,LSE,ETF,TRADING212
FXC.L,iShares China Large Cap UCITS ETF,LSE,ETF,TRADING212
G500.L,Invesco S\u0026P 500 UCITS ETF,LSE,ETF,TRADING212
GBCH.L,WisdomTree Long CHF Short GBP,LSE,ETF,TRADING212
GBDV.L,SPDR S\u0026P Global Dividend Aristocrats UCITS ETF,LSE,ETF,TRADING212
GBJP.L,WisdomTree Long JPY Short GBP,LSE,ETF,TRADING212
GBRE.L,SPDR Dow Jones Global Real Estate UCITS ETF,LSE,ETF,TRADING212
GBSP.L,WisdomTree Physical Gold - GBP Daily Hedged,LSE,ETF,TRADING212
GBSS.L,Gold Bullion Securities Ltd,LSE,ETF,TRADING212
GBUR.L,WisdomTree Long EUR Short GBP,LSE,ETF,TRADING212
GBUS.L,WisdomTree Long USD Short GBP,LSE,ETF,TRADING212
GCGB.L,UBS ETC linked to the UBS Bloomberg CMCI Components Gold GBP Mth Hdg TR,LSE,ETF,TRADING212
GDGB.L,VanEck Gold Miners UCITS ETF,LSE,ETF,TRADING212
GEDM.L,iShares MSCI EM IMI ESG Screened UCITS ETF,LSE,ETF,TRADING212
GFMP.L,GraniteShares GAFAM ETP,LSE,ETF,TRADING212
GFOP.L,Grayscale Future of Finance UCITS ETF,LSE,ETF,TRADING212
GGRB.L,WisdomTree Global Quality Dividend Growth UCITS ETF,LSE,ETF,TRADING212
GGRG.L,WisdomTree Global Quality Dividend Growth UCITS ETF,LSE,ETF,TRADING212
GGRP.L,WisdomTree Global Quality Dividend Growth UCITS ETF,LSE,ETF,TRADING212
GHYG.L,iShares Global High Yield Corp Bond UCITS ETF,LSE,ETF,TRADING212
GHYS.L,iShares Global High Yield Corp Bond GBP Hedged UCITS ETF Dist,LSE,ETF,TRADING212
GIL5.L,Amundi UK Government Bond 0-5Y UCITS ETF,LSE,ETF,TRADING212
GILG.L,iShares Global Inflation Linked Govt Bond UCITS ETF,LSE,ETF,TRADING212
GILI.L,Amundi UK Government Inflation-Linked Bond UCITS ETF,LSE,ETF,TRADING212
GILS.L,Amundi UK Government Bond UCITS ETF,LSE,ETF,TRADING212
GIN.L,SPDR Morningstar Multi-Asset Global Infrastructure UCITS ETF,LSE,ETF,TRADING212
GISG.L,Amundi Global Government Inflation-Linked Bond 1-10Y,LSE,ETF,TRADING212
GLCB.L,SPDR Refinitiv Global Convertible Bond UCITS ETF,LSE,ETF,TRADING212
GLCO.L,UBS Lux Fund Solutions - Bloomberg MSCI Global Liquid Corporates Sustainable UCI,LSE,ETF,TRADING212
GLDW.L,WisdomTree Core Physical Gold,LSE,ETF,TRADING212
GLGG.L,L\u0026G Clean Water UCITS ETF,LSE,ETF,TRADING212
GLT5.L,Invesco UK Gilt 1-5 Year UCITS ETF,LSE,ETF,TRADING212
GLTL.L,SPDR Bloomberg Barclays 15+ Year Gilt UCITS ETF,LSE,ETF,TRADING212
GLTP.L,Invesco UK Gilts UCITS ETF,LSE,ETF,TRADING212
GLTS.L,SPDR Bloomberg 1-5 Year Gilt UCITS ETF,LSE,ETF,TRADING212
GLTY.L,SPDR Bloomberg UK Gilt UCITS ETF,LSE,ETF,TRADING212
GNOG.L,Global X Genomics \u0026 Biotechnology UCITS ETF,LSE,ETF,TRADING212
GOVD.L,Amundi Global Government Bond II,LSE,ETF,TRADING212
GOVP.L,iShares USD Treasury Bond UCITS ETF,LSE,ETF,TRADING212
GPSA.L,iShares MSCI USA ESG Screened UCITS ETF,LSE,ETF,TRADING212
GSPX.L,iShares Core S\u0026P 500 UCITS ETF,LSE,ETF,TRADING212
H50E.L,HSBC EURO STOXX 50 UCITS ETF,LSE,ETF,TRADING212
HBKS.L,HSBC Global Funds ICAV - Global Sukuk UCITS ETF,LSE,ETF,TRADING212
HBRL.L,HSBC MSCI Brazil UCITS ETF,LSE,ETF,TRADING212
HCAN.L,HSBC MSCI Canada UCITS ETF,LSE,ETF,TRADING212
HDEM.L,Invesco FTSE Emerging Markets High Dividend Low Volatility UCITS ETF,LSE,ETF,TRADING212
HDGB.L,VanEck Hydrogen Economy UCITS ETF,LSE,ETF,TRADING212
HDIQ.L,iShares MSCI USA Quality Dividend ESG UCITS ETF,LSE,ETF,TRADING212
HDLG.L,Invesco S\u0026P 500 High Dividend Low Volatility UCITS ETF,LSE,ETF,TRADING212
HEAW.L,SPDR MSCI World Health Care UCITS ETF,LSE,ETF,TRADING212
HEDG.L,WisdomTree Europe Equity UCITS ETF,LSE,ETF,TRADING212
HEDP.L,WisdomTree Europe Equity UCITS ETF,LSE,ETF,TRADING212
HEDS.L,WisdomTree Europe Equity UCITS ETF,LSE,ETF,TRADING212
HERG.L,Global X Video Games \u0026 Esports UCITS ETF,LSE,ETF,TRADING212
HIDR.L,HSBC MSCI Indonesia UCITS ETF,LSE,ETF,TRADING212
HIES.L,HSBC MSCI Emerging Markets Islamic ESG UCITS ETF,LSE,ETF,TRADING212
HIGG.L,iShares EUR High Yield Corp Bond UCITS ETF,LSE,ETF,TRADING212
HIJS.L,HSBC MSCI Japan Islamic ESG UCITS ETF,LSE,ETF,TRADING212
HIPS.L,HSBC MSCI Europe Islamic ESG UCITS ETF,LSE,ETF,TRADING212
HIUS.L,HSBC MSCI USA Islamic ESG UCITS ETF,LSE,ETF,TRADING212
HIWS.L,HSBC MSCI World Islamic ESG UCITS ETF,LSE,ETF,TRADING212
HKOR.L,HSBC MSCI Korea Capped UCITS ETF,LSE,ETF,TRADING212
HLAL.L,Wahed FTSE USA Shariah ETP,LSE,ETF,TRADING212
HMCA.L,HSBC MSCI China A UCITS ETF,LSE,ETF,TRADING212
HMCH.L,HSBC MSCI China UCITS ETF,LSE,ETF,TRADING212
HMCX.L,HSBC FTSE 250 UCITS ETF,LSE,ETF,TRADING212
HMEU.L,HSBC MSCI Europe UCITS ETF,LSE,ETF,TRADING212
HMEX.L,HSBC MSCI Mexico Capped UCITS ETF,LSE,ETF,TRADING212
HMJP.L,HSBC MSCI Japan UCITS ETF,LSE,ETF,TRADING212
HMUS.L,HSBC MSCI USA UCITS ETF,LSE,ETF,TRADING212
HMWO.L,HSBC MSCI World UCITS ETF,LSE,ETF,TRADING212
HMXJ.L,HSBC MSCI Pacific ex Japan UCITS ETF,LSE,ETF,TRADING212
HODLGBP.L,21Shares Crypto Basket Index ETP,LSE,ETF,TRADING212
HPAO.L,HSBC MSCI World Climate Paris Aligned UCITS ETF,LSE,ETF,TRADING212
HPRO.L,HSBC FTSE EPRA/NAREIT Developed UCITS ETF,LSE,ETF,TRADING212
HSPX.L,HSBC S\u0026P 500 UCITS ETF,LSE,ETF,TRADING212
HSTC.L,HSBC Hang Seng Tech UCITS ETF,LSE,ETF,TRADING212
HSUK.L,HSBC UK Sustainable Equity UCITS ETF,LSE,ETF,TRADING212
HTRY.L,HSBC MSCI Turkey UCITS ETF,LSE,ETF,TRADING212
HTWG.L,L\u0026G Hydrogen Economy UCITS ETF,LSE,ETF,TRADING212
HTWN.L,HSBC MSCI Taiwan Capped UCITS ETF,LSE,ETF,TRADING212
HUKX.L,HSBC FTSE 100 UCITS ETF,LSE,ETF,TRADING212
