symbol,name,sector_code,sub_industry_code,exchange_code,asset_type,country_code,data_source, note_1
EXC,Exelon Corp,55,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
EXPD,Expeditors International Of Washington Inc,20,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
EXPE,Expedia Group Inc,25,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
EXR,Extra Space Storage Inc,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
F,Ford Motor Company,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
FANG,Diamondback Energy Inc,10,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
FAST,Fastenal Company,20,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
FCX,Freeport-McMoRan Inc,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
FDS,Factset Research Systems Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
FDX,Fedex Corp,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
FE,Firstenergy Corp,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
FFIV,F5 Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
FI,Fiserv Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
FICO,Fair Isaac Corp,45,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
FIS,Fidelity National Information Services Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
FITB,Fifth Third Bancorp,40,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
FLT,Fleetcor Technologies Inc,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
FMC,FMC Corp,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
FOX,Fox Corporation - Class B,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
FOXA,Fox Corporation - Class A,,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
FRT,Federal Realty Investment Trust.,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
